timestamp,v1,v2,v3,v4,t1,t2,t3,t4,c,s1,s2,s3,s4
1750343253651,3.81,3.82,3.6200000000000006,3.86,36.74821615989032,35.69455125038377,36.61357549925725,35.69455125038377,2802.702702702703,1,1,1,1
1750343263650,3.81,3.81,3.61,3.86,36.88372498795627,35.69455125038377,36.61357549925725,35.69455125038377,2802.702702702703,1,1,1,1
1750343273650,3.8000000000000003,3.81,3.6199999999999997,3.85,36.88372498795627,35.823395099498725,36.74821615989032,35.69455125038377,2802.702702702703,1,1,1,1
1750343283650,3.8,3.8,3.61,3.85,37.0201125309506,35.953038217522476,36.74821615989032,35.69455125038377,2802.702702702703,1,1,1,1
1750343293653,3.79,3.8,3.62,3.84,37.0201125309506,36.34685740789212,36.74821615989032,35.69455125038377,2802.702702702703,1,1,1,1
1750343303649,3.79,3.8,3.6100000000000003,3.84,37.0201125309506,36.34685740789212,36.74821615989032,35.69455125038377,2829.7297297297296,1,1,1,1
1750343313651,3.7700000000000005,3.8,3.6100000000000003,3.84,37.15738952507206,36.34685740789212,36.74821615989032,35.69455125038377,2802.702702702703,1,1,1,1
1750343323650,3.7900000000000005,3.78,3.6000000000000005,3.84,37.15738952507206,36.479792642922234,36.88372498795627,35.69455125038377,2802.702702702703,1,1,1,1
1750343333649,3.8,3.76,3.5999999999999996,3.83,37.15738952507206,36.479792642922234,36.88372498795627,35.69455125038377,2802.702702702703,1,1,1,1
1750343343651,3.8199999999999994,3.74,3.61,3.82,37.295566899692574,36.479792642922234,37.0201125309506,35.69455125038377,2802.702702702703,1,1,1,1
1750343353652,3.8099999999999996,3.74,3.6,3.82,37.295566899692574,36.61357549925725,37.0201125309506,35.69455125038377,2802.702702702703,1,1,1,1
1750343363654,3.8,3.74,3.5900000000000003,3.82,37.295566899692574,36.61357549925725,37.0201125309506,35.69455125038377,2802.702702702703,1,1,1,1
1750343373653,3.79,3.74,3.5900000000000003,3.82,37.43465578195929,36.61357549925725,37.0201125309506,35.69455125038377,2802.702702702703,1,1,1,1
1750343383653,3.7799999999999994,3.74,3.5800000000000005,3.82,37.43465578195929,36.74821615989032,37.15738952507206,35.69455125038377,2802.702702702703,1,1,1,1
1750343393652,3.7699999999999996,3.74,3.5800000000000005,3.82,37.43465578195929,36.74821615989032,37.15738952507206,35.69455125038377,2802.702702702703,1,1,1,1
1750343403653,3.76,3.74,3.57,3.82,37.5746675015335,36.74821615989032,37.15738952507206,35.69455125038377,2802.702702702703,1,1,1,1
1750343413653,3.75,3.74,3.56,3.82,37.5746675015335,36.74821615989032,37.15738952507206,35.69455125038377,2802.702702702703,1,1,1,1
